Glycan	Mass
HexNAc(9)Hex(7)Fuc(1)NeuAc(4)	4272.5237
HexNAc(14)Hex(15)Fuc(6)NeuAc(2)	6732.4418
HexNAc(14)Hex(15)Fuc(5)NeuAc(2)	6586.3839
HexNAc(14)Hex(15)Fuc(6)NeuAc(1)	6441.3464
HexNAc(10)Hex(11)Fuc(6)NeuAc(3)	5563.0084
HexNAc(10)Hex(11)Fuc(3)NeuAc(2)	4833.7393
HexNAc(9)Hex(11)NeuAc(3)	4483.5816
HexNAc(10)Hex(7)Fuc(1)NeuAc(4)	4475.6031
HexNAc(9)Hex(10)Fuc(3)NeuAc(2)	4468.6071
HexNAc(8)Hex(10)Fuc(6)NeuAc(1)	4412.606
HexNAc(12)Hex(5)Fuc(2)NeuAc(3)	4412.6188
HexNAc(10)Hex(12)Fuc(1)NeuAc(1)	4412.5809
HexNAc(8)Hex(10)NeuAc(4)	4409.5448
HexNAc(8)Hex(9)Fuc(1)NeuAc(4)	4393.5499
HexNAc(11)Hex(11)NeuAc(1)	4307.5496
HexNAc(6)Hex(7)Fuc(5)NeuAc(4)	4247.5171
HexNAc(9)Hex(10)Fuc(1)NeuAc(2)	4176.4913
HexNAc(8)Hex(10)NeuAc(3)	4118.4494
HexNAc(8)Hex(9)Fuc(3)NeuAc(2)	4103.4749
HexNAc(6)Hex(7)Fuc(4)NeuAc(4)	4101.4592
HexNAc(7)Hex(8)Fuc(1)NeuAc(4)	4028.4177
HexNAc(10)Hex(11)Fuc(1)	3959.4327
HexNAc(9)Hex(10)Fuc(3)	3886.4163
HexNAc(7)Hex(8)NeuAc(4)	3882.3598
HexNAc(7)Hex(7)Fuc(1)NeuAc(4)	3866.3649
HexNAc(8)Hex(10)NeuAc(2)	3827.354
HexNAc(8)Hex(9)Fuc(3)NeuAc(1)	3812.3795
HexNAc(6)Hex(7)Fuc(2)NeuAc(4)	3809.3434
HexNAc(7)Hex(8)Fuc(3)NeuAc(2)	3738.3427
HexNAc(7)Hex(7)NeuAc(4)	3720.307
HexNAc(7)Hex(6)Fuc(1)NeuAc(4)	3704.3121
HexNAc(8)Hex(9)NeuAc(2)	3665.3012
HexNAc(6)Hex(7)Fuc(5)NeuAc(2)	3665.3263
HexNAc(6)Hex(7)Fuc(1)NeuAc(4)	3663.2855
HexNAc(9)Hex(10)Fuc(1)	3594.3005
HexNAc(7)Hex(8)NeuAc(3)	3591.2644
HexNAc(5)Hex(6)Fuc(1)NeuAc(5)	3589.2487
HexNAc(8)Hex(9)Fuc(3)	3521.2841
HexNAc(8)Hex(9)Fuc(1)NeuAc(1)	3520.2637
HexNAc(6)Hex(7)Fuc(4)NeuAc(2)	3519.2684
HexNAc(6)Hex(7)NeuAc(4)	3517.2276
HexNAc(8)Hex(8)NeuAc(2)	3503.2484
HexNAc(7)Hex(8)Fuc(5)	3448.2677
HexNAc(9)Hex(10)	3448.2426
HexNAc(7)Hex(8)Fuc(3)NeuAc(1)	3447.2473
HexNAc(6)Hex(9)Fuc(5)	3407.2411
HexNAc(6)Hex(9)Fuc(1)NeuAc(2)	3405.2003
HexNAc(8)Hex(9)NeuAc(1)	3374.2058
HexNAc(6)Hex(7)Fuc(1)NeuAc(3)	3372.1901
HexNAc(7)Hex(8)Fuc(4)	3302.2098
HexNAc(7)Hex(8)NeuAc(2)	3300.169
HexNAc(7)Hex(7)Fuc(1)NeuAc(2)	3284.1741
HexNAc(7)Hex(4)NeuAc(4)	3234.1486
HexNAc(8)Hex(9)Fuc(1)	3229.1683
HexNAc(6)Hex(7)Fuc(4)NeuAc(1)	3228.173
HexNAc(6)Hex(7)NeuAc(3)	3226.1322
HexNAc(6)Hex(6)Fuc(1)NeuAc(3)	3210.1373
HexNAc(7)Hex(8)Fuc(3)	3156.1519
HexNAc(7)Hex(8)Fuc(1)NeuAc(1)	3155.1315
HexNAc(5)Hex(6)Fuc(2)NeuAc(3)	3153.1158
HexNAc(7)Hex(7)Fuc(4)	3140.157
HexNAc(7)Hex(7)NeuAc(2)	3138.1162
HexNAc(8)Hex(9)	3083.1104
HexNAc(6)Hex(7)Fuc(5)	3083.1355
HexNAc(6)Hex(7)Fuc(1)NeuAc(2)	3081.0947
HexNAc(6)Hex(6)NeuAc(3)	3064.0794
HexNAc(6)Hex(5)Fuc(1)NeuAc(3)	3048.0845
HexNAc(5)Hex(6)Fuc(7)	3010.1191
HexNAc(7)Hex(8)NeuAc(1)	3009.0736
HexNAc(5)Hex(6)Fuc(1)NeuAc(3)	3007.0579
HexNAc(6)Hex(9)NeuAc(1)	2968.047
HexNAc(4)Hex(7)Fuc(1)NeuAc(3)	2966.0313
HexNAc(6)Hex(7)Fuc(4)	2937.0776
HexNAc(6)Hex(7)NeuAc(2)	2935.0368
HexNAc(6)Hex(6)Fuc(1)NeuAc(2)	2919.0419
HexNAc(5)Hex(8)Fuc(4)	2896.051
HexNAc(7)Hex(9)	2880.031
