ScanNumber	RetentionTime	MSLevel	PrecursorMZ	NCE	ScanTIC	TotalOxoSignal	ScanInjTime	DissociationType	PrecursorScan	NumOxonium	TotalOxoSignal	84.0444, HexNAc - C2H8O4	126.055, HexNAc - C2H6O3	138.055, HexNAc - CH6O3	144.0655, HexNAc - C2H4O2	168.0655, HexNAc - 2H2O	186.0761, HexNAc - H2O	204.0867, HexNAc	85.0284, Hex - C2H6O3	97.0284, Hex - CH6O3	127.0390, Hex - 2H2O	145.0495, Hex - H2O	163.0601, Hex	274.0921, NeuAc-H2O	292.1027, NeuAc	316.103, NeuAc[Ac] - H2O	334.113, NeuAc[Ac]	290.0870, NeuGc - H2O	308.0976, NeuGc	332.098, NeuGc[Ac] - H2O	350.1081, NeuGc[Ac]	243.0264, Man-P	405.0798, Man2-P	325.1129, Hex2	366.1395, HexNAc-Hex	407.1660, HexNAc2	454.1555, Hex-NeuAc	470.1503, Hex-NeuGc	495.1821, HexNAc-NeuAc	511.1769, HexNAc-NeuGc	528.1923, HexNAc-Hex2	537.1927, HexNAc-NeuAc[Ac]	553.1875, HexNAc-NeuGc[Ac]	569.2188, HexNAc2-Hex	657.2349, HexNAc-Hex-NeuAc	673.2297, HexNAc-Hex-NeuGc	690.2451, HexNAc-Hex3	731.2717, HexNAc2-Hex2 (diLacNAc)	819.2877, HexNAc-Hex2-NeuAc	835.2825, HexNAc-Hex2-NeuGc	860.3143, HexNAc2-Hex-NeuAc	876.3091, HexNAc2-Hex-NeuGc	893.3245, HexNAc2-Hex3	948.3303, HexNAc-Hex-NeuAc2	964.3251, HexNAc-Hex-NeuGc2	1022.3671, HexNAc2-Hex2-NeuAc1	1038.3619, HexNAc2-Hex2-NeuGc1	1313.4625, HexNAc2-Hex2-NeuAc2	1329.4573, HexNAc2-Hex2-NeuGc2	350.1446, HexNAc-dHex	512.1974, HexNAc-Hex-dHex (LeX/A)	674.2502, HexNAc-Hex2-dHex	803.2928, HexNAc-Hex-dHex-NeuAc (sLeX/A)	819.2908, HexNAc-Hex-dHex-NeuGc	877.3296, HexNAc2-Hex2-dHex (diLacNAc-Fuc)	OxoInPeakDepthThresh	OxoRequired	OxoTICfraction	LikelyGlycoSpectrum
3345	12.063584803733333	2	1225.9107666015625	0	71348.203125	22361.565185546875	54	HCD	3328	4	22361.565185546875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	2	4	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.3134145529407385	False
3360	12.083028667733334	2	1468.9864501953125	0	105160.03125	38856.9111328125	54	HCD	3354	4	38856.9111328125	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	2	4	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.36950265867111465	False
3330	12.044419721866666	2	1082.829833984375	0	87213.9375	2049.002685546875	54	HCD	3328	1	2049.002685546875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	17	9	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	2	8	0.023493982089122796	False
3364	12.089413241866668	2	1387.4627685546875	0	85441.78125	33068.5263671875	54	HCD	3362	4	33068.5263671875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	2	3	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.38702992708485345	False
3347	12.065855096266667	2	982.8309326171875	0	67151.375	16853.07763671875	54	HCD	3328	4	16853.07763671875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	2	4	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.25097144528639587	False
3341	12.058983146400001	2	1144.8848876953125	0	49032.6875	19667.676513671875	54	HCD	3328	4	19667.676513671875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	2	3	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.4011135737495905	False
3359	12.079818229866667	2	1387.9688720703125	0	116062.015625	44098.997802734375	54	HCD	3354	4	44098.997802734375	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	2	4	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.37996064057012086	False
3361	12.083115510666666	2	1306.9439697265625	0	177428.203125	29042.325927734375	54	HCD	3354	4	29042.325927734375	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	11	4	9	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.16368494645281256	False
3339	12.0567138728	2	1063.3583984375	0	82829.125	31014.1982421875	54	HCD	3328	4	31014.1982421875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	2	3	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.3744359033394051	False
3351	12.070394846133333	2	1054.8516845703125	0	58628.0625	8411.712890625	54	HCD	3328	3	8411.712890625	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	2	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	8	0.14347588052436494	False
