Local Date/Time	Relative Time	oven:setpoint [°C]
06/15/2022 13:23:01	00:00:00.001	45.000
06/15/2022 13:23:01	00:00:00.031	45.000
06/15/2022 13:23:01	00:00:00.099	45.000
06/15/2022 13:23:01	00:00:00.169	45.000
06/15/2022 13:23:01	00:00:00.241	45.000
06/15/2022 13:23:01	00:00:00.315	45.000
06/15/2022 13:23:01	00:00:00.355	45.000
06/15/2022 13:23:01	00:00:00.375	45.000
06/15/2022 13:23:01	00:00:00.401	45.000
06/15/2022 13:23:01	00:00:00.417	45.000
06/15/2022 13:23:01	00:00:00.435	45.000
06/15/2022 13:23:01	00:00:00.457	45.000
06/15/2022 13:23:01	00:00:00.479	45.000
06/15/2022 13:23:01	00:00:00.505	45.000
06/15/2022 13:23:01	00:00:00.521	45.000
06/15/2022 13:23:01	00:00:00.541	45.000
06/15/2022 13:23:01	00:00:00.593	45.000
06/15/2022 13:23:01	00:00:00.605	45.000
06/15/2022 13:23:02	00:00:00.635	45.000
06/15/2022 13:23:02	00:00:00.655	45.000
06/15/2022 13:23:02	00:00:00.675	45.000
06/15/2022 13:23:02	00:00:00.697	45.000
06/15/2022 13:23:02	00:00:00.721	45.000
06/15/2022 13:23:02	00:00:00.746	45.000
06/15/2022 13:23:02	00:00:00.804	45.000
06/15/2022 13:23:02	00:00:00.830	45.000
06/15/2022 13:23:02	00:00:00.852	45.000
06/15/2022 13:23:02	00:00:00.885	45.000
06/15/2022 13:23:02	00:00:00.901	45.000
06/15/2022 13:23:02	00:00:00.918	45.000
06/15/2022 13:23:02	00:00:00.938	45.000
06/15/2022 13:23:02	00:00:00.961	45.000
06/15/2022 13:23:02	00:00:00.984	45.000
06/15/2022 13:23:02	00:00:01.010	45.000
06/15/2022 13:23:02	00:00:01.038	45.000
06/15/2022 13:23:02	00:00:01.069	45.000
06/15/2022 13:23:02	00:00:01.101	45.000
06/15/2022 13:23:02	00:00:01.134	45.000
06/15/2022 13:23:02	00:00:01.170	45.000
06/15/2022 13:23:02	00:00:01.208	45.000
06/15/2022 13:23:02	00:00:01.248	45.000
06/15/2022 13:23:02	00:00:01.290	45.000
06/15/2022 13:23:02	00:00:01.334	45.000
06/15/2022 13:23:02	00:00:01.380	45.000
06/15/2022 13:23:02	00:00:01.429	45.000
06/15/2022 13:23:02	00:00:01.479	45.000
06/15/2022 13:23:02	00:00:01.533	45.000
06/15/2022 13:23:02	00:00:01.587	45.000
06/15/2022 13:23:03	00:00:01.643	45.000
06/15/2022 13:23:03	00:00:01.701	45.000
06/15/2022 13:23:03	00:00:01.761	45.000
06/15/2022 13:23:03	00:00:01.823	45.000
06/15/2022 13:23:03	00:00:01.887	45.000
06/15/2022 13:23:03	00:00:01.953	45.000
06/15/2022 13:23:03	00:00:02.021	45.000
06/15/2022 13:23:03	00:00:02.085	45.000
06/15/2022 13:23:03	00:00:02.089	45.000
06/15/2022 13:23:03	00:00:02.099	45.000
06/15/2022 13:23:03	00:00:02.107	45.000
06/15/2022 13:23:03	00:00:02.117	45.000
06/15/2022 13:23:03	00:00:02.129	45.000
06/15/2022 13:23:03	00:00:02.143	45.000
06/15/2022 13:23:03	00:00:02.159	45.000
06/15/2022 13:23:03	00:00:02.177	45.000
06/15/2022 13:23:03	00:00:02.198	45.000
06/15/2022 13:23:03	00:00:02.220	45.000
06/15/2022 13:23:03	00:00:02.244	45.000
06/15/2022 13:23:03	00:00:02.270	45.000
06/15/2022 13:23:03	00:00:02.298	45.000
06/15/2022 13:23:03	00:00:02.328	45.000
06/15/2022 13:23:03	00:00:02.356	45.000
06/15/2022 13:23:03	00:00:02.374	45.000
06/15/2022 13:23:03	00:00:02.400	45.000
06/15/2022 13:23:03	00:00:02.416	45.000
06/15/2022 13:23:03	00:00:02.434	45.000
06/15/2022 13:23:03	00:00:02.454	45.000
06/15/2022 13:23:03	00:00:02.476	45.000
06/15/2022 13:23:03	00:00:02.500	45.000
06/15/2022 13:23:03	00:00:02.526	45.000
06/15/2022 13:23:03	00:00:02.584	45.000
06/15/2022 13:23:03	00:00:02.616	45.000
06/15/2022 13:23:04	00:00:02.650	45.000
06/15/2022 13:23:04	00:00:02.686	45.000
06/15/2022 13:23:04	00:00:02.724	45.000
06/15/2022 13:23:04	00:00:02.764	45.000
06/15/2022 13:23:04	00:00:02.806	45.000
06/15/2022 13:23:04	00:00:02.851	45.000
06/15/2022 13:23:04	00:00:02.897	45.000
06/15/2022 13:23:04	00:00:02.945	45.000
06/15/2022 13:23:04	00:00:02.959	45.000
06/15/2022 13:23:04	00:00:02.979	45.000
06/15/2022 13:23:04	00:00:02.991	45.000
06/15/2022 13:23:04	00:00:03.005	45.000
06/15/2022 13:23:04	00:00:03.021	45.000
06/15/2022 13:23:04	00:00:03.041	45.000
06/15/2022 13:23:04	00:00:03.068	45.000
06/15/2022 13:23:04	00:00:03.091	45.000
06/15/2022 13:23:04	00:00:03.115	45.000
06/15/2022 13:23:04	00:00:03.141	45.000
06/15/2022 13:23:04	00:00:03.169	45.000
06/15/2022 13:23:04	00:00:03.199	45.000
06/15/2022 13:23:04	00:00:03.231	45.000
06/15/2022 13:23:04	00:00:03.265	45.000
06/15/2022 13:23:04	00:00:03.301	45.000
06/15/2022 13:23:04	00:00:03.339	45.000
06/15/2022 13:23:04	00:00:03.367	45.000
06/15/2022 13:23:04	00:00:03.379	45.000
06/15/2022 13:23:04	00:00:03.391	45.000
06/15/2022 13:23:04	00:00:03.407	45.000
06/15/2022 13:23:04	00:00:03.423	45.000
06/15/2022 13:23:04	00:00:03.441	45.000
06/15/2022 13:23:04	00:00:03.461	45.000
06/15/2022 13:23:04	00:00:03.485	45.000
06/15/2022 13:23:04	00:00:03.511	45.000
06/15/2022 13:23:04	00:00:03.537	45.000
06/15/2022 13:23:04	00:00:03.565	45.000
06/15/2022 13:23:04	00:00:03.595	45.000
06/15/2022 13:23:04	00:00:03.627	45.000
06/15/2022 13:23:05	00:00:03.646	45.000
06/15/2022 13:23:05	00:00:03.659	45.000
06/15/2022 13:23:05	00:00:03.670	45.000
