Local Date/Time	Relative Time	flowsensor-a:flow [µL/min]
06/15/2022 13:23:01	00:00:00.001	-0.048
06/15/2022 13:23:01	00:00:00.031	-0.052
06/15/2022 13:23:01	00:00:00.169	-0.054
06/15/2022 13:23:01	00:00:00.315	-0.057
06/15/2022 13:23:01	00:00:00.605	-0.055
06/15/2022 13:23:02	00:00:00.720	-0.056
06/15/2022 13:23:02	00:00:00.918	-0.055
06/15/2022 13:23:02	00:00:01.134	-0.045
06/15/2022 13:23:02	00:00:01.208	-0.028
06/15/2022 13:23:02	00:00:01.334	-0.008
06/15/2022 13:23:02	00:00:01.429	0.010
06/15/2022 13:23:02	00:00:01.533	0.020
06/15/2022 13:23:03	00:00:01.643	0.019
06/15/2022 13:23:03	00:00:01.761	0.008
06/15/2022 13:23:03	00:00:01.823	-0.007
06/15/2022 13:23:03	00:00:01.953	-0.015
06/15/2022 13:23:03	00:00:02.021	-0.020
06/15/2022 13:23:03	00:00:02.107	-0.016
06/15/2022 13:23:03	00:00:02.220	-0.001
06/15/2022 13:23:03	00:00:02.328	0.006
06/15/2022 13:23:03	00:00:02.416	-0.021
06/15/2022 13:23:03	00:00:02.526	0.016
06/15/2022 13:23:03	00:00:02.616	0.082
06/15/2022 13:23:04	00:00:02.724	0.080
06/15/2022 13:23:04	00:00:02.806	-0.081
06/15/2022 13:23:04	00:00:02.945	-0.033
06/15/2022 13:23:04	00:00:03.005	-0.032
06/15/2022 13:23:04	00:00:03.115	-0.024
06/15/2022 13:23:04	00:00:03.231	-0.022
06/15/2022 13:23:04	00:00:03.339	-0.002
06/15/2022 13:23:04	00:00:03.407	0.001
06/15/2022 13:23:04	00:00:03.511	-0.002
06/15/2022 13:23:04	00:00:03.626	-0.021
06/15/2022 13:23:05	00:00:03.718	0.003
06/15/2022 13:23:05	00:00:03.934	0.002
06/15/2022 13:23:05	00:00:04.134	0.000
06/15/2022 13:23:06	00:00:05.638	0.000
06/15/2022 13:23:07	00:00:05.638	0.000
06/15/2022 13:23:07	00:00:05.889	-0.001
06/15/2022 13:23:07	00:00:05.985	0.001
06/15/2022 13:23:07	00:00:06.083	-0.001
06/15/2022 13:23:07	00:00:06.386	0.001
06/15/2022 13:23:07	00:00:06.589	0.000
06/15/2022 13:23:08	00:00:07.650	0.000
06/15/2022 13:23:09	00:00:07.650	0.000
06/15/2022 13:23:09	00:00:07.906	0.001
06/15/2022 13:23:09	00:00:08.410	0.000
06/15/2022 13:23:10	00:00:08.819	0.001
06/15/2022 13:23:10	00:00:08.921	-0.001
06/15/2022 13:23:10	00:00:09.328	0.001
06/15/2022 13:23:11	00:00:09.834	-0.001
06/15/2022 13:23:11	00:00:10.345	0.001
06/15/2022 13:23:11	00:00:10.549	0.000
06/15/2022 13:23:12	00:00:10.752	0.001
06/15/2022 13:23:12	00:00:10.952	-0.001
06/15/2022 13:23:12	00:00:11.254	0.000
06/15/2022 13:23:12	00:00:11.663	-0.001
06/15/2022 13:23:13	00:00:11.969	0.002
06/15/2022 13:23:13	00:00:12.172	-0.001
06/15/2022 13:23:13	00:00:12.274	0.000
06/15/2022 13:23:13	00:00:12.576	-0.001
06/15/2022 13:23:14	00:00:12.883	0.001
06/15/2022 13:23:14	00:00:13.087	-0.001
06/15/2022 13:23:14	00:00:13.189	0.001
06/15/2022 13:23:14	00:00:13.290	0.000
06/15/2022 13:23:14	00:00:13.392	-0.002
06/15/2022 13:23:14	00:00:13.494	0.001
06/15/2022 13:23:14	00:00:13.596	0.000
06/15/2022 13:23:15	00:00:13.796	0.001
