Local Date/Time	Relative Time	flowsensor-b:flow [µL/min]
06/15/2022 13:23:01	00:00:00.001	0.083
06/15/2022 13:23:01	00:00:00.031	0.085
06/15/2022 13:23:01	00:00:00.241	0.089
06/15/2022 13:23:01	00:00:00.417	0.087
06/15/2022 13:23:01	00:00:00.505	0.089
06/15/2022 13:23:02	00:00:00.804	0.091
06/15/2022 13:23:02	00:00:00.918	0.089
06/15/2022 13:23:02	00:00:01.010	0.068
06/15/2022 13:23:02	00:00:01.134	-0.012
06/15/2022 13:23:02	00:00:01.208	-0.061
06/15/2022 13:23:02	00:00:01.334	-0.087
06/15/2022 13:23:02	00:00:01.429	-0.081
06/15/2022 13:23:02	00:00:01.533	-0.035
06/15/2022 13:23:03	00:00:01.643	0.024
06/15/2022 13:23:03	00:00:01.761	0.082
06/15/2022 13:23:03	00:00:01.823	0.094
06/15/2022 13:23:03	00:00:01.953	0.070
06/15/2022 13:23:03	00:00:02.021	0.048
06/15/2022 13:23:03	00:00:02.107	-0.022
06/15/2022 13:23:03	00:00:02.220	-0.044
06/15/2022 13:23:03	00:00:02.328	-0.013
06/15/2022 13:23:03	00:00:02.416	-0.077
06/15/2022 13:23:03	00:00:02.526	0.003
06/15/2022 13:23:03	00:00:02.616	-0.026
06/15/2022 13:23:04	00:00:02.724	-0.075
06/15/2022 13:23:04	00:00:02.806	-0.041
06/15/2022 13:23:04	00:00:02.945	0.015
06/15/2022 13:23:04	00:00:03.005	0.032
06/15/2022 13:23:04	00:00:03.115	0.035
06/15/2022 13:23:04	00:00:03.231	-0.021
06/15/2022 13:23:04	00:00:03.339	-0.047
06/15/2022 13:23:04	00:00:03.407	-0.034
06/15/2022 13:23:04	00:00:03.627	-0.077
06/15/2022 13:23:05	00:00:03.718	0.002
06/15/2022 13:23:05	00:00:03.810	-0.001
06/15/2022 13:23:05	00:00:03.934	-0.004
06/15/2022 13:23:05	00:00:04.229	-0.001
06/15/2022 13:23:05	00:00:04.335	0.000
06/15/2022 13:23:05	00:00:04.503	0.001
06/15/2022 13:23:06	00:00:04.823	-0.002
06/15/2022 13:23:06	00:00:04.965	0.001
06/15/2022 13:23:06	00:00:05.039	-0.001
06/15/2022 13:23:06	00:00:05.115	0.001
06/15/2022 13:23:07	00:00:05.889	-0.003
06/15/2022 13:23:07	00:00:06.083	0.001
06/15/2022 13:23:07	00:00:06.589	-0.001
06/15/2022 13:23:08	00:00:06.790	0.001
06/15/2022 13:23:08	00:00:06.990	0.000
06/15/2022 13:23:08	00:00:07.397	0.003
06/15/2022 13:23:08	00:00:07.499	0.000
06/15/2022 13:23:09	00:00:07.703	-0.002
06/15/2022 13:23:09	00:00:07.805	0.000
06/15/2022 13:23:09	00:00:08.009	-0.001
06/15/2022 13:23:09	00:00:08.210	0.003
06/15/2022 13:23:09	00:00:08.310	0.001
06/15/2022 13:23:09	00:00:08.410	-0.001
06/15/2022 13:23:09	00:00:08.513	0.003
06/15/2022 13:23:10	00:00:08.717	0.001
06/15/2022 13:23:10	00:00:08.819	-0.001
06/15/2022 13:23:10	00:00:08.921	0.000
06/15/2022 13:23:10	00:00:09.023	-0.001
06/15/2022 13:23:10	00:00:09.227	0.000
06/15/2022 13:23:10	00:00:09.329	-0.001
06/15/2022 13:23:10	00:00:09.430	0.001
06/15/2022 13:23:10	00:00:09.532	-0.002
06/15/2022 13:23:10	00:00:09.632	0.000
06/15/2022 13:23:11	00:00:09.834	0.001
06/15/2022 13:23:11	00:00:10.141	-0.003
06/15/2022 13:23:11	00:00:10.243	0.000
06/15/2022 13:23:11	00:00:10.345	-0.001
06/15/2022 13:23:11	00:00:10.651	0.001
06/15/2022 13:23:12	00:00:10.752	-0.001
06/15/2022 13:23:12	00:00:10.952	0.001
06/15/2022 13:23:12	00:00:11.052	-0.002
06/15/2022 13:23:12	00:00:11.152	0.003
06/15/2022 13:23:12	00:00:11.254	0.000
06/15/2022 13:23:12	00:00:11.459	-0.001
06/15/2022 13:23:12	00:00:11.561	0.001
06/15/2022 13:23:12	00:00:11.663	0.000
06/15/2022 13:23:13	00:00:11.867	0.002
06/15/2022 13:23:13	00:00:11.969	-0.001
06/15/2022 13:23:13	00:00:12.376	0.003
06/15/2022 13:23:13	00:00:12.476	-0.004
06/15/2022 13:23:13	00:00:12.576	0.000
06/15/2022 13:23:13	00:00:12.678	-0.002
06/15/2022 13:23:14	00:00:12.883	0.000
06/15/2022 13:23:14	00:00:13.087	-0.001
06/15/2022 13:23:14	00:00:13.189	0.001
06/15/2022 13:23:14	00:00:13.291	-0.001
06/15/2022 13:23:14	00:00:13.393	0.000
06/15/2022 13:23:15	00:00:14.305	0.003
06/15/2022 13:23:15	00:00:14.407	-0.001
06/15/2022 13:23:15	00:00:14.509	0.000
06/15/2022 13:23:15	00:00:14.611	-0.001
06/15/2022 13:23:16	00:00:14.914	0.001
06/15/2022 13:23:16	00:00:15.014	-0.003
06/15/2022 13:23:16	00:00:15.114	0.005
06/15/2022 13:23:16	00:00:15.214	0.000
06/15/2022 13:23:16	00:00:15.519	-0.002
06/15/2022 13:23:17	00:00:15.723	-0.001
06/15/2022 13:23:17	00:00:16.029	-0.003
06/15/2022 13:23:17	00:00:16.131	0.001
06/15/2022 13:23:17	00:00:16.432	-0.001
06/15/2022 13:23:17	00:00:16.532	0.001
06/15/2022 13:23:17	00:00:16.632	0.000
06/15/2022 13:23:18	00:00:16.734	0.003
06/15/2022 13:23:18	00:00:16.834	0.001
06/15/2022 13:23:18	00:00:16.937	0.000
06/15/2022 13:23:18	00:00:17.243	0.002
06/15/2022 13:23:18	00:00:17.345	0.000
06/15/2022 13:23:19	00:00:17.852	-0.001
06/15/2022 13:23:19	00:00:17.952	0.003
06/15/2022 13:23:19	00:00:18.054	0.000
06/15/2022 13:23:19	00:00:18.156	-0.001
06/15/2022 13:23:19	00:00:18.258	0.001
06/15/2022 13:23:19	00:00:18.565	-0.002
06/15/2022 13:23:19	00:00:18.667	0.000
06/15/2022 13:23:20	00:00:18.769	-0.001
06/15/2022 13:23:20	00:00:18.973	0.000
06/15/2022 13:23:20	00:00:19.075	-0.001
06/15/2022 13:23:20	00:00:19.176	0.001
06/15/2022 13:23:20	00:00:19.276	0.000
06/15/2022 13:23:20	00:00:19.376	0.001
06/15/2022 13:23:20	00:00:19.476	0.004
06/15/2022 13:23:20	00:00:19.578	-0.001
06/15/2022 13:23:20	00:00:19.680	0.000
