Local Date/Time	Relative Time	pump-a:pressure [bar]
06/15/2022 13:23:01	00:00:00.001	5.060
06/15/2022 13:23:01	00:00:00.031	4.942
06/15/2022 13:23:01	00:00:00.241	4.764
06/15/2022 13:23:01	00:00:00.355	4.626
06/15/2022 13:23:02	00:00:01.620	4.626
06/15/2022 13:23:03	00:00:01.620	4.626
06/15/2022 13:23:03	00:00:02.416	4.745
06/15/2022 13:23:04	00:00:03.565	4.863
06/15/2022 13:23:05	00:00:03.784	5.001
06/15/2022 13:23:05	00:00:03.868	5.198
06/15/2022 13:23:05	00:00:03.900	5.494
06/15/2022 13:23:05	00:00:03.934	5.987
06/15/2022 13:23:05	00:00:03.970	6.638
06/15/2022 13:23:05	00:00:04.008	7.032
06/15/2022 13:23:05	00:00:04.048	7.939
06/15/2022 13:23:05	00:00:04.090	9.675
06/15/2022 13:23:05	00:00:04.134	11.016
06/15/2022 13:23:05	00:00:04.180	12.534
06/15/2022 13:23:05	00:00:04.229	14.191
06/15/2022 13:23:05	00:00:04.281	16.872
06/15/2022 13:23:05	00:00:04.335	19.515
06/15/2022 13:23:05	00:00:04.389	21.270
06/15/2022 13:23:05	00:00:04.445	23.952
06/15/2022 13:23:05	00:00:04.503	26.575
06/15/2022 13:23:05	00:00:04.563	29.237
06/15/2022 13:23:05	00:00:04.625	31.978
06/15/2022 13:23:06	00:00:04.689	34.699
06/15/2022 13:23:06	00:00:04.755	38.387
06/15/2022 13:23:06	00:00:04.823	41.148
06/15/2022 13:23:06	00:00:04.893	44.934
06/15/2022 13:23:06	00:00:04.964	47.793
06/15/2022 13:23:06	00:00:05.039	51.639
06/15/2022 13:23:06	00:00:05.114	55.445
06/15/2022 13:23:06	00:00:05.192	59.389
06/15/2022 13:23:06	00:00:05.272	63.293
06/15/2022 13:23:06	00:00:05.354	67.178
06/15/2022 13:23:06	00:00:05.438	71.083
06/15/2022 13:23:06	00:00:05.524	74.987
06/15/2022 13:23:06	00:00:05.612	79.799
06/15/2022 13:23:07	00:00:05.703	83.664
06/15/2022 13:23:07	00:00:05.795	88.594
06/15/2022 13:23:07	00:00:05.889	92.479
06/15/2022 13:23:07	00:00:05.985	97.468
06/15/2022 13:23:07	00:00:06.083	102.477
06/15/2022 13:23:07	00:00:06.183	107.368
06/15/2022 13:23:07	00:00:06.285	112.258
06/15/2022 13:23:07	00:00:06.386	117.109
06/15/2022 13:23:07	00:00:06.488	121.921
06/15/2022 13:23:07	00:00:06.589	126.811
06/15/2022 13:23:08	00:00:06.690	132.708
06/15/2022 13:23:08	00:00:06.790	137.539
06/15/2022 13:23:08	00:00:06.890	142.292
06/15/2022 13:23:08	00:00:06.990	146.729
06/15/2022 13:23:08	00:00:07.091	150.890
06/15/2022 13:23:08	00:00:07.193	154.834
06/15/2022 13:23:08	00:00:07.295	158.521
06/15/2022 13:23:08	00:00:07.397	161.972
06/15/2022 13:23:08	00:00:07.499	165.167
06/15/2022 13:23:08	00:00:07.601	168.164
06/15/2022 13:23:09	00:00:07.703	170.984
06/15/2022 13:23:09	00:00:07.805	173.646
06/15/2022 13:23:09	00:00:07.907	176.151
06/15/2022 13:23:09	00:00:08.008	178.478
06/15/2022 13:23:09	00:00:08.110	181.140
06/15/2022 13:23:09	00:00:08.210	183.171
06/15/2022 13:23:09	00:00:08.310	185.084
06/15/2022 13:23:09	00:00:08.410	186.800
06/15/2022 13:23:09	00:00:08.513	188.417
06/15/2022 13:23:09	00:00:08.615	189.896
06/15/2022 13:23:10	00:00:08.717	191.355
06/15/2022 13:23:10	00:00:08.819	192.716
06/15/2022 13:23:10	00:00:08.921	193.938
06/15/2022 13:23:10	00:00:09.023	195.122
06/15/2022 13:23:10	00:00:09.125	196.206
