Local Date/Time	Relative Time	pump-a:speed [µL/min]
06/15/2022 13:23:01	00:00:00.001	0.000
06/15/2022 13:23:02	00:00:01.620	0.000
06/15/2022 13:23:03	00:00:02.623	0.000
06/15/2022 13:23:04	00:00:03.634	0.000
06/15/2022 13:23:05	00:00:03.634	0.000
06/15/2022 13:23:05	00:00:03.718	252.210
06/15/2022 13:23:05	00:00:03.760	239.670
06/15/2022 13:23:05	00:00:03.838	239.666
06/15/2022 13:23:05	00:00:03.868	239.652
06/15/2022 13:23:05	00:00:03.900	239.621
06/15/2022 13:23:05	00:00:03.934	239.526
06/15/2022 13:23:05	00:00:04.008	239.514
06/15/2022 13:23:05	00:00:04.048	239.519
06/15/2022 13:23:05	00:00:04.090	239.542
06/15/2022 13:23:05	00:00:04.134	239.507
06/15/2022 13:23:05	00:00:04.180	239.532
06/15/2022 13:23:05	00:00:04.229	239.515
06/15/2022 13:23:05	00:00:04.281	239.503
06/15/2022 13:23:05	00:00:04.335	239.531
06/15/2022 13:23:05	00:00:04.389	239.526
06/15/2022 13:23:05	00:00:04.445	239.507
06/15/2022 13:23:05	00:00:04.503	239.533
06/15/2022 13:23:05	00:00:04.563	239.530
06/15/2022 13:23:05	00:00:04.625	239.507
06/15/2022 13:23:06	00:00:04.689	239.518
06/15/2022 13:23:06	00:00:04.755	239.483
06/15/2022 13:23:06	00:00:04.823	239.534
06/15/2022 13:23:06	00:00:04.893	239.510
06/15/2022 13:23:06	00:00:04.964	239.520
06/15/2022 13:23:06	00:00:05.038	239.538
06/15/2022 13:23:06	00:00:05.114	239.510
06/15/2022 13:23:06	00:00:05.192	239.506
06/15/2022 13:23:06	00:00:05.272	239.525
06/15/2022 13:23:06	00:00:05.354	239.498
06/15/2022 13:23:06	00:00:05.438	239.481
06/15/2022 13:23:06	00:00:05.524	239.507
06/15/2022 13:23:06	00:00:05.612	239.526
06/15/2022 13:23:07	00:00:05.795	239.469
06/15/2022 13:23:07	00:00:05.889	239.477
06/15/2022 13:23:07	00:00:05.985	239.503
06/15/2022 13:23:07	00:00:06.083	239.499
06/15/2022 13:23:07	00:00:06.183	239.512
06/15/2022 13:23:07	00:00:06.285	239.494
06/15/2022 13:23:07	00:00:06.386	239.503
06/15/2022 13:23:07	00:00:06.488	239.501
06/15/2022 13:23:07	00:00:06.589	238.395
06/15/2022 13:23:08	00:00:06.690	223.616
06/15/2022 13:23:08	00:00:06.790	212.490
06/15/2022 13:23:08	00:00:06.890	198.142
06/15/2022 13:23:08	00:00:06.990	182.511
06/15/2022 13:23:08	00:00:07.091	176.100
06/15/2022 13:23:08	00:00:07.193	162.885
06/15/2022 13:23:08	00:00:07.295	150.472
06/15/2022 13:23:08	00:00:07.397	145.570
06/15/2022 13:23:08	00:00:07.499	134.112
06/15/2022 13:23:08	00:00:07.601	125.035
06/15/2022 13:23:09	00:00:07.702	117.146
06/15/2022 13:23:09	00:00:07.805	111.441
06/15/2022 13:23:09	00:00:07.906	103.352
06/15/2022 13:23:09	00:00:08.008	95.982
06/15/2022 13:23:09	00:00:08.110	91.042
06/15/2022 13:23:09	00:00:08.210	84.343
06/15/2022 13:23:09	00:00:08.310	78.741
06/15/2022 13:23:09	00:00:08.410	76.351
06/15/2022 13:23:09	00:00:08.513	70.636
06/15/2022 13:23:09	00:00:08.615	66.168
06/15/2022 13:23:10	00:00:08.717	61.514
06/15/2022 13:23:10	00:00:08.819	59.748
06/15/2022 13:23:10	00:00:08.921	55.024
06/15/2022 13:23:10	00:00:09.023	51.370
06/15/2022 13:23:10	00:00:09.125	49.968
06/15/2022 13:23:10	00:00:09.226	46.673
06/15/2022 13:23:10	00:00:09.328	43.611
06/15/2022 13:23:10	00:00:09.430	43.521
06/15/2022 13:23:10	00:00:09.532	39.100
06/15/2022 13:23:10	00:00:09.632	38.691
06/15/2022 13:23:11	00:00:09.732	36.975
06/15/2022 13:23:11	00:00:09.834	34.179
06/15/2022 13:23:11	00:00:09.937	32.522
06/15/2022 13:23:11	00:00:10.039	30.753
06/15/2022 13:23:11	00:00:10.141	29.005
06/15/2022 13:23:11	00:00:10.243	27.560
06/15/2022 13:23:11	00:00:10.345	26.594
06/15/2022 13:23:11	00:00:10.447	25.224
06/15/2022 13:23:11	00:00:10.549	25.419
06/15/2022 13:23:11	00:00:10.650	22.142
06/15/2022 13:23:12	00:00:10.752	22.479
06/15/2022 13:23:12	00:00:10.852	20.726
06/15/2022 13:23:12	00:00:10.952	20.581
06/15/2022 13:23:12	00:00:11.052	19.165
06/15/2022 13:23:12	00:00:11.152	18.222
06/15/2022 13:23:12	00:00:11.254	18.941
06/15/2022 13:23:12	00:00:11.357	17.689
06/15/2022 13:23:12	00:00:11.459	16.494
06/15/2022 13:23:12	00:00:11.561	17.101
06/15/2022 13:23:12	00:00:11.663	16.623
06/15/2022 13:23:13	00:00:11.765	16.389
06/15/2022 13:23:13	00:00:11.867	15.030
06/15/2022 13:23:13	00:00:11.969	15.138
06/15/2022 13:23:13	00:00:12.070	13.735
06/15/2022 13:23:13	00:00:12.172	13.172
06/15/2022 13:23:13	00:00:12.274	12.496
06/15/2022 13:23:13	00:00:12.376	12.504
06/15/2022 13:23:13	00:00:12.476	12.775
06/15/2022 13:23:13	00:00:12.576	11.688
06/15/2022 13:23:13	00:00:12.678	12.033
06/15/2022 13:23:14	00:00:12.781	11.533
06/15/2022 13:23:14	00:00:12.883	11.417
06/15/2022 13:23:14	00:00:12.985	11.580
06/15/2022 13:23:14	00:00:13.087	10.847
06/15/2022 13:23:14	00:00:13.189	10.362
06/15/2022 13:23:14	00:00:13.291	9.919
06/15/2022 13:23:14	00:00:13.392	9.039
06/15/2022 13:23:14	00:00:13.494	10.514
06/15/2022 13:23:14	00:00:13.596	9.333
06/15/2022 13:23:15	00:00:13.696	8.369
06/15/2022 13:23:15	00:00:13.796	9.483
06/15/2022 13:23:15	00:00:13.896	9.404
06/15/2022 13:23:15	00:00:13.998	9.104
06/15/2022 13:23:15	00:00:14.101	8.862
06/15/2022 13:23:15	00:00:14.203	8.302
06/15/2022 13:23:15	00:00:14.305	9.412
06/15/2022 13:23:15	00:00:14.407	8.541
06/15/2022 13:23:15	00:00:14.509	9.039
06/15/2022 13:23:15	00:00:14.611	8.414
06/15/2022 13:23:16	00:00:14.712	8.275
06/15/2022 13:23:16	00:00:14.814	7.749
06/15/2022 13:23:16	00:00:14.914	9.050
06/15/2022 13:23:16	00:00:15.014	6.857
06/15/2022 13:23:16	00:00:15.114	6.711
06/15/2022 13:23:16	00:00:15.214	8.377
06/15/2022 13:23:16	00:00:15.314	7.926
06/15/2022 13:23:16	00:00:15.416	8.617
06/15/2022 13:23:16	00:00:15.519	6.983
06/15/2022 13:23:16	00:00:15.621	7.074
06/15/2022 13:23:17	00:00:15.723	8.064
06/15/2022 13:23:17	00:00:15.825	7.275
06/15/2022 13:23:17	00:00:15.927	8.470
06/15/2022 13:23:17	00:00:16.029	8.153
06/15/2022 13:23:17	00:00:16.130	7.453
06/15/2022 13:23:17	00:00:16.232	7.954
06/15/2022 13:23:17	00:00:16.332	7.217
06/15/2022 13:23:17	00:00:16.432	7.235
06/15/2022 13:23:17	00:00:16.532	7.723
06/15/2022 13:23:17	00:00:16.632	7.153
06/15/2022 13:23:18	00:00:16.734	8.012
06/15/2022 13:23:18	00:00:16.834	6.985
06/15/2022 13:23:18	00:00:16.937	6.765
06/15/2022 13:23:18	00:00:17.039	8.354
06/15/2022 13:23:18	00:00:17.141	7.196
06/15/2022 13:23:18	00:00:17.243	8.012
06/15/2022 13:23:18	00:00:17.345	6.370
06/15/2022 13:23:18	00:00:17.446	7.975
06/15/2022 13:23:18	00:00:17.548	7.140
06/15/2022 13:23:18	00:00:17.650	6.959
06/15/2022 13:23:19	00:00:17.752	6.429
06/15/2022 13:23:19	00:00:17.852	6.199
06/15/2022 13:23:19	00:00:17.952	7.610
06/15/2022 13:23:19	00:00:18.054	7.010
06/15/2022 13:23:19	00:00:18.156	7.679
06/15/2022 13:23:19	00:00:18.258	7.636
06/15/2022 13:23:19	00:00:18.361	7.208
06/15/2022 13:23:19	00:00:18.463	7.023
06/15/2022 13:23:19	00:00:18.565	8.149
06/15/2022 13:23:19	00:00:18.667	6.565
06/15/2022 13:23:20	00:00:18.769	7.312
06/15/2022 13:23:20	00:00:18.870	6.289
06/15/2022 13:23:20	00:00:18.972	6.575
06/15/2022 13:23:20	00:00:19.074	6.892
06/15/2022 13:23:20	00:00:19.176	7.593
06/15/2022 13:23:20	00:00:19.276	5.578
06/15/2022 13:23:20	00:00:19.376	7.867
06/15/2022 13:23:20	00:00:19.476	6.991
06/15/2022 13:23:20	00:00:19.578	7.202
06/15/2022 13:23:20	00:00:19.680	7.388
06/15/2022 13:23:21	00:00:19.783	7.272
06/15/2022 13:23:21	00:00:19.885	7.353
06/15/2022 13:23:21	00:00:19.987	6.336
06/15/2022 13:23:21	00:00:20.089	5.950
06/15/2022 13:23:21	00:00:20.191	6.395
06/15/2022 13:23:21	00:00:20.292	7.976
06/15/2022 13:23:21	00:00:20.394	7.994
06/15/2022 13:23:21	00:00:20.496	6.777
06/15/2022 13:23:21	00:00:20.596	7.830
06/15/2022 13:23:21	00:00:20.696	6.386
06/15/2022 13:23:22	00:00:20.796	7.003
06/15/2022 13:23:22	00:00:20.898	7.497
06/15/2022 13:23:22	00:00:21.000	7.560
06/15/2022 13:23:22	00:00:21.102	6.413
06/15/2022 13:23:22	00:00:21.205	6.753
06/15/2022 13:23:22	00:00:21.307	6.302
06/15/2022 13:23:22	00:00:21.409	6.575
06/15/2022 13:23:22	00:00:21.511	7.488
06/15/2022 13:23:22	00:00:21.614	6.654
06/15/2022 13:23:22	00:00:21.716	6.455
06/15/2022 13:23:23	00:00:21.818	6.998
06/15/2022 13:23:23	00:00:21.920	7.081
06/15/2022 13:23:23	00:00:22.020	6.088
06/15/2022 13:23:23	00:00:22.122	6.911
06/15/2022 13:23:23	00:00:22.222	7.475
06/15/2022 13:23:23	00:00:22.322	7.415
06/15/2022 13:23:23	00:00:22.424	7.228
06/15/2022 13:23:23	00:00:22.527	6.138
06/15/2022 13:23:23	00:00:22.629	7.187
06/15/2022 13:23:23	00:00:22.731	7.059
06/15/2022 13:23:24	00:00:22.833	6.648
06/15/2022 13:23:24	00:00:22.935	6.892
06/15/2022 13:23:24	00:00:23.037	7.516
06/15/2022 13:23:24	00:00:23.138	6.971
06/15/2022 13:23:24	00:00:23.238	6.992
06/15/2022 13:23:24	00:00:23.340	6.747
06/15/2022 13:23:24	00:00:23.440	7.177
06/15/2022 13:23:24	00:00:23.540	6.626
06/15/2022 13:23:24	00:00:23.640	6.214
06/15/2022 13:23:24	00:00:23.742	7.194
06/15/2022 13:23:25	00:00:23.844	6.308
06/15/2022 13:23:25	00:00:23.946	6.796
06/15/2022 13:23:25	00:00:24.049	5.869
06/15/2022 13:23:25	00:00:24.151	6.413
06/15/2022 13:23:25	00:00:24.253	5.877
06/15/2022 13:23:25	00:00:24.354	6.624
06/15/2022 13:23:25	00:00:24.456	6.144
06/15/2022 13:23:25	00:00:24.558	6.494
06/15/2022 13:23:25	00:00:24.658	7.250
06/15/2022 13:23:25	00:00:24.758	7.381
06/15/2022 13:23:26	00:00:24.858	6.671
06/15/2022 13:23:26	00:00:24.958	6.262
06/15/2022 13:23:26	00:00:25.060	7.274
06/15/2022 13:23:26	00:00:25.162	6.476
06/15/2022 13:23:26	00:00:25.264	6.852
06/15/2022 13:23:26	00:00:25.366	6.000
06/15/2022 13:23:26	00:00:25.469	6.254
06/15/2022 13:23:26	00:00:25.571	6.034
06/15/2022 13:23:26	00:00:25.673	6.894
06/15/2022 13:23:27	00:00:25.780	5.835
06/15/2022 13:23:27	00:00:25.882	5.574
06/15/2022 13:23:27	00:00:25.982	7.009
06/15/2022 13:23:27	00:00:26.084	7.031
06/15/2022 13:23:27	00:00:26.184	7.321
06/15/2022 13:23:27	00:00:26.284	6.798
06/15/2022 13:23:27	00:00:26.384	5.673
06/15/2022 13:23:27	00:00:26.486	6.805
06/15/2022 13:23:27	00:00:26.588	7.416
06/15/2022 13:23:27	00:00:26.690	6.257
06/15/2022 13:23:28	00:00:26.793	6.151
06/15/2022 13:23:28	00:00:26.895	6.505
06/15/2022 13:23:28	00:00:26.997	6.579
06/15/2022 13:23:28	00:00:27.099	6.583
06/15/2022 13:23:28	00:00:27.200	6.649
06/15/2022 13:23:28	00:00:27.302	7.087
06/15/2022 13:23:28	00:00:27.402	6.848
06/15/2022 13:23:28	00:00:27.502	6.978
06/15/2022 13:23:28	00:00:27.602	6.102
