Local Date/Time	Relative Time	pump-a:volume [%]
06/15/2022 13:23:01	00:00:00.001	70.696
06/15/2022 13:23:02	00:00:01.620	70.696
06/15/2022 13:23:03	00:00:02.623	70.696
06/15/2022 13:23:04	00:00:03.634	70.696
06/15/2022 13:23:05	00:00:03.634	70.696
06/15/2022 13:23:05	00:00:03.785	70.717
06/15/2022 13:23:05	00:00:03.838	70.728
06/15/2022 13:23:05	00:00:03.868	70.739
06/15/2022 13:23:05	00:00:03.900	70.750
06/15/2022 13:23:05	00:00:03.934	70.761
06/15/2022 13:23:05	00:00:03.970	70.773
06/15/2022 13:23:05	00:00:04.008	70.784
06/15/2022 13:23:05	00:00:04.048	70.795
06/15/2022 13:23:05	00:00:04.090	70.805
06/15/2022 13:23:05	00:00:04.134	70.817
06/15/2022 13:23:05	00:00:04.180	70.829
06/15/2022 13:23:05	00:00:04.229	70.839
06/15/2022 13:23:05	00:00:04.281	70.862
06/15/2022 13:23:05	00:00:04.335	70.872
06/15/2022 13:23:05	00:00:04.389	70.896
06/15/2022 13:23:05	00:00:04.445	70.906
06/15/2022 13:23:05	00:00:04.503	70.928
06/15/2022 13:23:05	00:00:04.563	70.940
06/15/2022 13:23:05	00:00:04.625	70.962
06/15/2022 13:23:06	00:00:04.689	70.983
06/15/2022 13:23:06	00:00:04.755	70.995
06/15/2022 13:23:06	00:00:04.823	71.017
06/15/2022 13:23:06	00:00:04.893	71.039
06/15/2022 13:23:06	00:00:04.965	71.062
06/15/2022 13:23:06	00:00:05.039	71.084
06/15/2022 13:23:06	00:00:05.114	71.105
06/15/2022 13:23:06	00:00:05.192	71.128
06/15/2022 13:23:06	00:00:05.272	71.150
06/15/2022 13:23:06	00:00:05.354	71.172
06/15/2022 13:23:06	00:00:05.438	71.206
06/15/2022 13:23:06	00:00:05.524	71.228
06/15/2022 13:23:06	00:00:05.612	71.251
06/15/2022 13:23:07	00:00:05.703	71.284
06/15/2022 13:23:07	00:00:05.795	71.307
06/15/2022 13:23:07	00:00:05.889	71.340
06/15/2022 13:23:07	00:00:05.985	71.363
06/15/2022 13:23:07	00:00:06.083	71.395
06/15/2022 13:23:07	00:00:06.183	71.419
06/15/2022 13:23:07	00:00:06.285	71.451
06/15/2022 13:23:07	00:00:06.386	71.485
06/15/2022 13:23:07	00:00:06.488	71.518
06/15/2022 13:23:07	00:00:06.589	71.540
06/15/2022 13:23:08	00:00:06.690	71.572
06/15/2022 13:23:08	00:00:06.790	71.603
06/15/2022 13:23:08	00:00:06.890	71.622
06/15/2022 13:23:08	00:00:06.990	71.649
06/15/2022 13:23:08	00:00:07.091	71.673
06/15/2022 13:23:08	00:00:07.193	71.689
06/15/2022 13:23:08	00:00:07.295	71.711
06/15/2022 13:23:08	00:00:07.397	71.731
06/15/2022 13:23:08	00:00:07.499	71.744
06/15/2022 13:23:08	00:00:07.601	71.763
06/15/2022 13:23:09	00:00:07.703	71.780
06/15/2022 13:23:09	00:00:07.805	71.790
06/15/2022 13:23:09	00:00:07.907	71.805
06/15/2022 13:23:09	00:00:08.008	71.819
06/15/2022 13:23:09	00:00:08.110	71.832
06/15/2022 13:23:09	00:00:08.310	71.852
06/15/2022 13:23:09	00:00:08.513	71.869
06/15/2022 13:23:10	00:00:08.717	71.888
06/15/2022 13:23:10	00:00:08.921	71.901
06/15/2022 13:23:10	00:00:09.125	71.913
06/15/2022 13:23:10	00:00:09.328	71.927
06/15/2022 13:23:10	00:00:09.632	71.942
06/15/2022 13:23:11	00:00:09.937	71.956
06/15/2022 13:23:11	00:00:10.243	71.967
06/15/2022 13:23:11	00:00:10.651	71.980
06/15/2022 13:23:12	00:00:11.052	71.990
06/15/2022 13:23:12	00:00:11.561	72.002
06/15/2022 13:23:13	00:00:12.173	72.013
06/15/2022 13:23:14	00:00:12.883	72.023
06/15/2022 13:23:15	00:00:13.696	72.034
06/15/2022 13:23:15	00:00:14.611	72.044
06/15/2022 13:23:16	00:00:15.683	72.044
06/15/2022 13:23:17	00:00:15.683	72.044
06/15/2022 13:23:17	00:00:15.723	72.055
06/15/2022 13:23:18	00:00:16.834	72.065
06/15/2022 13:23:19	00:00:17.952	72.075
06/15/2022 13:23:20	00:00:19.074	72.085
06/15/2022 13:23:21	00:00:20.293	72.096
06/15/2022 13:23:22	00:00:21.511	72.106
06/15/2022 13:23:23	00:00:22.731	72.116
06/15/2022 13:23:24	00:00:23.761	72.116
06/15/2022 13:23:25	00:00:23.761	72.116
