Local Date/Time	Relative Time	pump-b:pressure [bar]
06/15/2022 13:23:01	00:00:00.001	12.305
06/15/2022 13:23:01	00:00:00.241	12.424
06/15/2022 13:23:02	00:00:01.038	12.266
06/15/2022 13:23:02	00:00:01.069	12.148
06/15/2022 13:23:02	00:00:01.100	11.832
06/15/2022 13:23:02	00:00:01.134	11.418
06/15/2022 13:23:02	00:00:01.170	10.885
06/15/2022 13:23:02	00:00:01.208	10.550
06/15/2022 13:23:02	00:00:01.248	9.821
06/15/2022 13:23:02	00:00:01.290	8.598
06/15/2022 13:23:02	00:00:01.334	7.671
06/15/2022 13:23:02	00:00:01.380	6.685
06/15/2022 13:23:02	00:00:01.429	5.798
06/15/2022 13:23:02	00:00:01.479	4.654
06/15/2022 13:23:02	00:00:01.533	3.905
06/15/2022 13:23:02	00:00:01.587	3.628
06/15/2022 13:23:03	00:00:01.701	4.043
06/15/2022 13:23:03	00:00:01.761	4.792
06/15/2022 13:23:03	00:00:01.823	5.778
06/15/2022 13:23:03	00:00:01.887	6.764
06/15/2022 13:23:03	00:00:01.953	7.849
06/15/2022 13:23:03	00:00:02.021	8.420
06/15/2022 13:23:03	00:00:02.085	8.558
06/15/2022 13:23:03	00:00:02.117	8.381
06/15/2022 13:23:03	00:00:02.142	8.223
06/15/2022 13:23:03	00:00:02.159	8.046
06/15/2022 13:23:03	00:00:02.176	7.829
06/15/2022 13:23:03	00:00:02.198	7.612
06/15/2022 13:23:03	00:00:02.220	7.395
06/15/2022 13:23:03	00:00:02.244	7.198
06/15/2022 13:23:03	00:00:02.270	6.764
06/15/2022 13:23:03	00:00:02.298	6.586
06/15/2022 13:23:03	00:00:02.328	6.370
06/15/2022 13:23:03	00:00:02.356	5.936
06/15/2022 13:23:03	00:00:02.374	5.739
06/15/2022 13:23:03	00:00:02.400	5.541
06/15/2022 13:23:03	00:00:02.416	5.344
06/15/2022 13:23:03	00:00:02.434	5.186
06/15/2022 13:23:03	00:00:02.454	5.068
06/15/2022 13:23:03	00:00:02.500	4.891
06/15/2022 13:23:04	00:00:02.724	5.029
06/15/2022 13:23:04	00:00:02.851	5.147
06/15/2022 13:23:04	00:00:03.021	5.265
06/15/2022 13:23:04	00:00:03.265	4.910
06/15/2022 13:23:04	00:00:03.301	4.398
06/15/2022 13:23:04	00:00:03.339	3.924
06/15/2022 13:23:04	00:00:03.367	3.707
06/15/2022 13:23:04	00:00:03.379	3.471
06/15/2022 13:23:04	00:00:03.391	3.234
06/15/2022 13:23:04	00:00:03.423	2.978
06/15/2022 13:23:04	00:00:03.441	2.761
06/15/2022 13:23:04	00:00:03.461	2.504
06/15/2022 13:23:04	00:00:03.485	2.268
06/15/2022 13:23:04	00:00:03.511	1.795
06/15/2022 13:23:04	00:00:03.537	1.518
06/15/2022 13:23:04	00:00:03.565	1.282
06/15/2022 13:23:04	00:00:03.595	0.749
06/15/2022 13:23:04	00:00:03.627	0.532
06/15/2022 13:23:05	00:00:04.048	0.651
06/15/2022 13:23:05	00:00:04.281	0.769
06/15/2022 13:23:06	00:00:05.639	0.769
06/15/2022 13:23:07	00:00:06.650	0.769
06/15/2022 13:23:08	00:00:07.650	0.769
06/15/2022 13:23:09	00:00:08.651	0.769
06/15/2022 13:23:10	00:00:09.666	0.769
06/15/2022 13:23:11	00:00:10.668	0.769
06/15/2022 13:23:12	00:00:11.668	0.769
06/15/2022 13:23:13	00:00:12.682	0.769
06/15/2022 13:23:14	00:00:12.682	0.769
06/15/2022 13:23:14	00:00:13.596	0.887
06/15/2022 13:23:15	00:00:13.998	0.769
06/15/2022 13:23:16	00:00:15.683	0.769
06/15/2022 13:23:17	00:00:16.700	0.769
06/15/2022 13:23:18	00:00:17.712	0.769
06/15/2022 13:23:19	00:00:18.717	0.769
06/15/2022 13:23:20	00:00:18.717	0.769
06/15/2022 13:23:20	00:00:18.871	0.631
06/15/2022 13:23:20	00:00:19.176	0.749
06/15/2022 13:23:21	00:00:20.728	0.749
06/15/2022 13:23:22	00:00:21.730	0.749
06/15/2022 13:23:23	00:00:22.746	0.749
06/15/2022 13:23:24	00:00:23.761	0.749
06/15/2022 13:23:25	00:00:24.761	0.749
06/15/2022 13:23:26	00:00:24.761	0.749
06/15/2022 13:23:26	00:00:24.858	0.887
06/15/2022 13:23:26	00:00:25.264	0.749
06/15/2022 13:23:27	00:00:26.775	0.749
06/15/2022 13:23:28	00:00:27.776	0.749
06/15/2022 13:23:29	00:00:28.777	0.749
06/15/2022 13:23:30	00:00:28.777	0.749
06/15/2022 13:23:30	00:00:29.220	0.868
06/15/2022 13:23:30	00:00:29.526	0.749
06/15/2022 13:23:31	00:00:30.790	0.749
06/15/2022 13:23:32	00:00:31.791	0.749
06/15/2022 13:23:33	00:00:32.792	0.749
06/15/2022 13:23:35	00:00:33.952	0.749
06/15/2022 13:23:35	00:00:33.952	0.749
06/15/2022 13:23:35	00:00:34.007	0.868
06/15/2022 13:23:35	00:00:34.252	0.749
06/15/2022 13:23:36	00:00:35.808	0.749
06/15/2022 13:23:37	00:00:36.822	0.749
06/15/2022 13:23:38	00:00:37.822	0.749
06/15/2022 13:23:39	00:00:38.823	0.749
06/15/2022 13:23:40	00:00:39.825	0.749
06/15/2022 13:23:41	00:00:39.825	0.749
06/15/2022 13:23:41	00:00:40.458	0.631
06/15/2022 13:23:42	00:00:41.374	0.749
06/15/2022 13:23:43	00:00:42.840	0.749
06/15/2022 13:23:44	00:00:43.841	0.749
06/15/2022 13:23:45	00:00:44.852	0.749
06/15/2022 13:23:46	00:00:45.854	0.749
06/15/2022 13:23:47	00:00:46.854	0.749
06/15/2022 13:23:48	00:00:46.854	0.749
06/15/2022 13:23:48	00:00:47.156	0.868
06/15/2022 13:23:48	00:00:47.768	0.749
06/15/2022 13:23:49	00:00:48.885	0.749
06/15/2022 13:23:50	00:00:49.886	0.749
06/15/2022 13:23:51	00:00:49.886	0.749
06/15/2022 13:23:51	00:00:50.002	0.868
06/15/2022 13:23:51	00:00:50.410	0.749
06/15/2022 13:23:52	00:00:51.888	0.749
06/15/2022 13:23:54	00:00:52.920	0.749
06/15/2022 13:23:55	00:00:53.917	0.749
06/15/2022 13:23:56	00:00:53.917	0.749
06/15/2022 13:23:56	00:00:53.958	0.611
