Local Date/Time	Relative Time	pump-b:volume [%]
06/15/2022 13:23:01	00:00:00.001	48.698
06/15/2022 13:23:02	00:00:01.010	48.680
06/15/2022 13:23:02	00:00:01.038	48.666
06/15/2022 13:23:02	00:00:01.069	48.651
06/15/2022 13:23:02	00:00:01.100	48.638
06/15/2022 13:23:02	00:00:01.170	48.623
06/15/2022 13:23:02	00:00:01.208	48.609
06/15/2022 13:23:02	00:00:01.248	48.594
06/15/2022 13:23:02	00:00:01.290	48.583
06/15/2022 13:23:02	00:00:01.334	48.567
06/15/2022 13:23:02	00:00:01.533	48.583
06/15/2022 13:23:03	00:00:01.643	48.617
06/15/2022 13:23:03	00:00:01.701	48.628
06/15/2022 13:23:03	00:00:01.761	48.646
06/15/2022 13:23:03	00:00:02.021	48.622
06/15/2022 13:23:03	00:00:02.085	48.610
06/15/2022 13:23:03	00:00:02.089	48.595
06/15/2022 13:23:03	00:00:02.129	48.585
06/15/2022 13:23:04	00:00:03.635	48.585
06/15/2022 13:23:05	00:00:04.636	48.585
06/15/2022 13:23:06	00:00:05.639	48.585
06/15/2022 13:23:07	00:00:06.650	48.585
06/15/2022 13:23:08	00:00:07.650	48.585
06/15/2022 13:23:09	00:00:08.651	48.585
06/15/2022 13:23:10	00:00:09.666	48.585
06/15/2022 13:23:11	00:00:10.668	48.585
06/15/2022 13:23:12	00:00:11.668	48.585
06/15/2022 13:23:13	00:00:12.682	48.585
06/15/2022 13:23:14	00:00:13.682	48.585
06/15/2022 13:23:15	00:00:14.683	48.585
06/15/2022 13:23:16	00:00:15.683	48.585
06/15/2022 13:23:17	00:00:16.700	48.585
06/15/2022 13:23:18	00:00:17.712	48.585
06/15/2022 13:23:19	00:00:18.717	48.585
06/15/2022 13:23:20	00:00:19.728	48.585
06/15/2022 13:23:21	00:00:20.729	48.585
06/15/2022 13:23:22	00:00:21.730	48.585
06/15/2022 13:23:23	00:00:22.746	48.585
06/15/2022 13:23:24	00:00:23.761	48.585
06/15/2022 13:23:25	00:00:24.761	48.585
06/15/2022 13:23:26	00:00:25.763	48.585
06/15/2022 13:23:27	00:00:26.775	48.585
06/15/2022 13:23:28	00:00:27.776	48.585
06/15/2022 13:23:29	00:00:28.777	48.585
06/15/2022 13:23:30	00:00:29.782	48.585
06/15/2022 13:23:31	00:00:30.790	48.585
06/15/2022 13:23:32	00:00:31.791	48.585
06/15/2022 13:23:33	00:00:32.792	48.585
06/15/2022 13:23:35	00:00:33.953	48.585
06/15/2022 13:23:35	00:00:34.807	48.585
06/15/2022 13:23:36	00:00:35.808	48.585
06/15/2022 13:23:37	00:00:36.822	48.585
06/15/2022 13:23:38	00:00:37.822	48.585
06/15/2022 13:23:39	00:00:38.823	48.585
06/15/2022 13:23:40	00:00:39.825	48.585
06/15/2022 13:23:41	00:00:40.839	48.585
06/15/2022 13:23:42	00:00:41.839	48.585
06/15/2022 13:23:43	00:00:42.840	48.585
06/15/2022 13:23:44	00:00:43.841	48.585
06/15/2022 13:23:45	00:00:44.852	48.585
06/15/2022 13:23:46	00:00:45.854	48.585
06/15/2022 13:23:47	00:00:46.854	48.585
06/15/2022 13:23:48	00:00:47.870	48.585
06/15/2022 13:23:49	00:00:48.885	48.585
06/15/2022 13:23:50	00:00:49.886	48.585
06/15/2022 13:23:51	00:00:50.888	48.585
06/15/2022 13:23:52	00:00:51.888	48.585
06/15/2022 13:23:54	00:00:52.920	48.585
06/15/2022 13:23:55	00:00:53.918	48.585
06/15/2022 13:23:56	00:00:54.932	48.585
06/15/2022 13:23:57	00:00:55.933	48.585
06/15/2022 13:23:58	00:00:56.933	48.585
06/15/2022 13:23:59	00:00:57.934	48.585
06/15/2022 13:24:00	00:00:58.934	48.585
06/15/2022 13:24:01	00:00:59.936	48.585
06/15/2022 13:24:02	00:01:00.937	48.585
06/15/2022 13:24:03	00:01:01.947	48.585
06/15/2022 13:24:04	00:01:02.946	48.585
