Local Date/Time	Relative Time	setflow-a:setflow [µL/min]
06/15/2022 13:23:01	00:00:00.001	0.000
06/15/2022 13:23:02	00:00:01.620	0.000
06/15/2022 13:23:03	00:00:02.623	0.000
06/15/2022 13:23:04	00:00:03.635	0.000
06/15/2022 13:23:05	00:00:04.636	0.000
06/15/2022 13:23:06	00:00:05.639	0.000
06/15/2022 13:23:07	00:00:06.650	0.000
06/15/2022 13:23:08	00:00:07.650	0.000
06/15/2022 13:23:09	00:00:08.651	0.000
06/15/2022 13:23:10	00:00:09.666	0.000
06/15/2022 13:23:11	00:00:10.668	0.000
06/15/2022 13:23:12	00:00:11.668	0.000
06/15/2022 13:23:13	00:00:12.682	0.000
06/15/2022 13:23:14	00:00:13.682	0.000
06/15/2022 13:23:15	00:00:14.683	0.000
06/15/2022 13:23:16	00:00:15.683	0.000
06/15/2022 13:23:17	00:00:16.700	0.000
06/15/2022 13:23:18	00:00:17.712	0.000
06/15/2022 13:23:19	00:00:18.716	0.000
06/15/2022 13:23:20	00:00:19.728	0.000
06/15/2022 13:23:21	00:00:20.728	0.000
06/15/2022 13:23:22	00:00:21.730	0.000
06/15/2022 13:23:23	00:00:22.746	0.000
06/15/2022 13:23:24	00:00:23.761	0.000
06/15/2022 13:23:25	00:00:24.761	0.000
06/15/2022 13:23:26	00:00:25.762	0.000
06/15/2022 13:23:27	00:00:26.775	0.000
06/15/2022 13:23:28	00:00:27.776	0.000
06/15/2022 13:23:29	00:00:28.777	0.000
06/15/2022 13:23:30	00:00:29.782	0.000
06/15/2022 13:23:31	00:00:30.790	0.000
06/15/2022 13:23:32	00:00:31.791	0.000
06/15/2022 13:23:33	00:00:32.792	0.000
06/15/2022 13:23:35	00:00:33.952	0.000
06/15/2022 13:23:35	00:00:34.807	0.000
06/15/2022 13:23:36	00:00:35.808	0.000
06/15/2022 13:23:37	00:00:36.822	0.000
06/15/2022 13:23:38	00:00:37.822	0.000
06/15/2022 13:23:39	00:00:38.823	0.000
06/15/2022 13:23:40	00:00:39.825	0.000
06/15/2022 13:23:41	00:00:40.839	0.000
06/15/2022 13:23:42	00:00:41.839	0.000
06/15/2022 13:23:43	00:00:42.840	0.000
06/15/2022 13:23:44	00:00:43.841	0.000
06/15/2022 13:23:45	00:00:44.852	0.000
06/15/2022 13:23:46	00:00:45.854	0.000
06/15/2022 13:23:47	00:00:46.854	0.000
06/15/2022 13:23:48	00:00:47.870	0.000
06/15/2022 13:23:49	00:00:48.885	0.000
06/15/2022 13:23:50	00:00:49.886	0.000
06/15/2022 13:23:51	00:00:50.888	0.000
06/15/2022 13:23:52	00:00:51.888	0.000
06/15/2022 13:23:54	00:00:52.920	0.000
06/15/2022 13:23:55	00:00:53.917	0.000
06/15/2022 13:23:56	00:00:54.932	0.000
06/15/2022 13:23:57	00:00:55.932	0.000
06/15/2022 13:23:58	00:00:56.933	0.000
06/15/2022 13:23:59	00:00:57.934	0.000
06/15/2022 13:24:00	00:00:58.934	0.000
06/15/2022 13:24:01	00:00:59.936	0.000
06/15/2022 13:24:02	00:01:00.937	0.000
06/15/2022 13:24:03	00:01:01.946	0.000
06/15/2022 13:24:04	00:01:02.946	0.000
06/15/2022 13:24:05	00:01:03.947	0.000
06/15/2022 13:24:06	00:01:04.949	0.000
06/15/2022 13:24:07	00:01:05.962	0.000
06/15/2022 13:24:08	00:01:06.963	0.000
06/15/2022 13:24:09	00:01:07.979	0.000
06/15/2022 13:24:10	00:01:08.994	0.000
06/15/2022 13:24:11	00:01:10.009	0.000
06/15/2022 13:24:12	00:01:11.010	0.000
06/15/2022 13:24:13	00:01:12.011	0.000
06/15/2022 13:24:14	00:01:13.012	0.000
06/15/2022 13:24:15	00:01:14.013	0.000
06/15/2022 13:24:16	00:01:15.028	0.000
06/15/2022 13:24:17	00:01:16.042	0.000
06/15/2022 13:24:18	00:01:17.044	0.000
06/15/2022 13:24:19	00:01:18.043	0.000
06/15/2022 13:24:20	00:01:19.045	0.000
06/15/2022 13:24:21	00:01:20.059	0.000
06/15/2022 13:24:22	00:01:21.071	0.000
06/15/2022 13:24:23	00:01:22.073	0.000
06/15/2022 13:24:24	00:01:23.074	0.000
06/15/2022 13:24:25	00:01:24.075	0.000
06/15/2022 13:24:26	00:01:25.075	0.000
06/15/2022 13:24:27	00:01:26.090	0.000
06/15/2022 13:24:28	00:01:27.089	0.000
06/15/2022 13:24:29	00:01:28.091	0.000
06/15/2022 13:24:30	00:01:29.091	0.000
06/15/2022 13:24:31	00:01:30.102	0.000
06/15/2022 13:24:32	00:01:31.104	0.000
06/15/2022 13:24:33	00:01:32.104	0.000
06/15/2022 13:24:34	00:01:33.106	0.000
06/15/2022 13:24:35	00:01:34.120	0.000
06/15/2022 13:24:36	00:01:35.133	0.000
06/15/2022 13:24:37	00:01:36.134	0.000
06/15/2022 13:24:38	00:01:37.134	0.000
06/15/2022 13:24:39	00:01:38.134	0.000
06/15/2022 13:24:40	00:01:39.135	0.000
06/15/2022 13:24:41	00:01:40.137	0.000
06/15/2022 13:24:42	00:01:41.149	0.000
06/15/2022 13:24:43	00:01:42.151	0.000
06/15/2022 13:24:44	00:01:43.165	0.000
06/15/2022 13:24:45	00:01:44.166	0.000
06/15/2022 13:24:46	00:01:45.168	0.000
06/15/2022 13:24:47	00:01:46.168	0.000
06/15/2022 13:24:48	00:01:47.170	0.000
06/15/2022 13:24:49	00:01:48.181	0.000
06/15/2022 13:24:50	00:01:49.181	0.000
06/15/2022 13:24:51	00:01:50.199	0.000
06/15/2022 13:24:52	00:01:51.213	0.000
06/15/2022 13:24:53	00:01:52.228	0.000
06/15/2022 13:24:54	00:01:53.244	0.000
06/15/2022 13:24:55	00:01:54.246	0.000
06/15/2022 13:24:56	00:01:55.260	0.000
06/15/2022 13:24:57	00:01:56.261	0.000
06/15/2022 13:24:58	00:01:57.276	0.000
06/15/2022 13:24:59	00:01:58.275	0.000
06/15/2022 13:25:00	00:01:59.277	0.000
06/15/2022 13:25:01	00:02:00.293	0.000
06/15/2022 13:25:02	00:02:01.292	0.000
06/15/2022 13:25:03	00:02:02.305	0.000
06/15/2022 13:25:04	00:02:03.305	0.000
06/15/2022 13:25:05	00:02:04.306	0.000
06/15/2022 13:25:06	00:02:05.321	0.000
06/15/2022 13:25:07	00:02:06.337	0.000
06/15/2022 13:25:08	00:02:07.352	0.000
06/15/2022 13:25:09	00:02:08.368	0.000
06/15/2022 13:25:10	00:02:09.383	0.000
06/15/2022 13:25:11	00:02:10.383	0.000
06/15/2022 13:25:12	00:02:11.383	0.000
06/15/2022 13:25:13	00:02:12.386	0.000
06/15/2022 13:25:14	00:02:13.385	0.000
06/15/2022 13:25:15	00:02:14.399	0.000
06/15/2022 13:25:16	00:02:15.400	0.000
06/15/2022 13:25:17	00:02:16.415	0.000
06/15/2022 13:25:18	00:02:17.431	0.000
06/15/2022 13:25:19	00:02:18.430	0.000
06/15/2022 13:25:20	00:02:19.431	0.000
06/15/2022 13:25:21	00:02:20.432	0.000
06/15/2022 13:25:22	00:02:21.446	0.000
06/15/2022 13:25:23	00:02:22.449	0.000
06/15/2022 13:25:24	00:02:23.464	0.000
06/15/2022 13:25:25	00:02:24.463	0.000
06/15/2022 13:25:26	00:02:25.466	0.000
06/15/2022 13:25:27	00:02:26.462	0.000
06/15/2022 13:25:28	00:02:27.463	0.000
06/15/2022 13:25:29	00:02:28.464	0.000
06/15/2022 13:25:30	00:02:29.479	0.000
06/15/2022 13:25:31	00:02:30.493	0.000
06/15/2022 13:25:32	00:02:31.494	0.000
06/15/2022 13:25:33	00:02:32.493	0.000
06/15/2022 13:25:34	00:02:33.495	0.000
06/15/2022 13:25:35	00:02:34.509	0.000
06/15/2022 13:25:36	00:02:35.510	0.000
06/15/2022 13:25:37	00:02:36.510	0.000
06/15/2022 13:25:38	00:02:37.524	0.000
06/15/2022 13:25:39	00:02:38.525	0.000
06/15/2022 13:25:40	00:02:39.526	0.000
06/15/2022 13:25:41	00:02:40.547	0.000
06/15/2022 13:25:42	00:02:41.559	0.000
06/15/2022 13:25:43	00:02:42.558	0.000
06/15/2022 13:25:44	00:02:43.567	0.000
06/15/2022 13:25:45	00:02:44.575	0.000
06/15/2022 13:25:46	00:02:45.587	0.000
06/15/2022 13:25:47	00:02:46.586	0.000
06/15/2022 13:25:48	00:02:47.586	0.000
06/15/2022 13:25:49	00:02:48.587	0.000
06/15/2022 13:25:50	00:02:49.588	0.000
06/15/2022 13:25:51	00:02:50.603	0.000
06/15/2022 13:25:52	00:02:51.617	0.000
06/15/2022 13:25:53	00:02:52.617	0.000
06/15/2022 13:25:54	00:02:53.634	0.000
06/15/2022 13:25:55	00:02:54.633	0.000
06/15/2022 13:25:56	00:02:55.634	0.000
06/15/2022 13:25:57	00:02:56.634	0.000
06/15/2022 13:25:58	00:02:57.635	0.000
06/15/2022 13:25:59	00:02:58.634	0.000
06/15/2022 13:26:00	00:02:59.634	0.000
06/15/2022 13:26:01	00:03:00.634	0.000
06/15/2022 13:26:02	00:03:01.635	0.000
06/15/2022 13:26:03	00:03:02.634	0.000
06/15/2022 13:26:04	00:03:03.634	0.000
06/15/2022 13:26:05	00:03:04.635	0.000
06/15/2022 13:26:06	00:03:05.634	0.000
06/15/2022 13:26:07	00:03:06.634	0.000
06/15/2022 13:26:08	00:03:07.636	0.000
06/15/2022 13:26:09	00:03:08.648	0.000
06/15/2022 13:26:10	00:03:09.651	0.000
06/15/2022 13:26:11	00:03:10.665	0.000
06/15/2022 13:26:12	00:03:11.668	0.000
06/15/2022 13:26:13	00:03:12.681	0.000
06/15/2022 13:26:14	00:03:13.681	0.000
06/15/2022 13:26:15	00:03:14.684	0.000
06/15/2022 13:26:16	00:03:15.698	0.000
06/15/2022 13:26:17	00:03:16.714	0.000
06/15/2022 13:26:18	00:03:17.713	0.000
06/15/2022 13:26:19	00:03:18.727	0.000
06/15/2022 13:26:20	00:03:19.729	0.000
06/15/2022 13:26:21	00:03:20.728	0.000
06/15/2022 13:26:22	00:03:21.729	0.000
06/15/2022 13:26:23	00:03:22.743	0.000
06/15/2022 13:26:24	00:03:23.744	0.000
06/15/2022 13:26:25	00:03:24.745	0.000
06/15/2022 13:26:26	00:03:25.758	0.000
06/15/2022 13:26:27	00:03:26.772	0.000
06/15/2022 13:26:28	00:03:27.786	0.000
06/15/2022 13:26:29	00:03:28.800	0.000
06/15/2022 13:26:30	00:03:29.805	0.000
06/15/2022 13:26:31	00:03:30.820	0.000
06/15/2022 13:26:32	00:03:31.834	0.000
06/15/2022 13:26:33	00:03:32.849	0.000
06/15/2022 13:26:34	00:03:33.860	0.000
06/15/2022 13:26:35	00:03:34.873	0.000
06/15/2022 13:26:36	00:03:35.892	0.000
06/15/2022 13:26:37	00:03:36.902	0.000
06/15/2022 13:26:39	00:03:37.916	0.000
06/15/2022 13:26:40	00:03:38.917	0.000
06/15/2022 13:26:41	00:03:39.917	0.000
06/15/2022 13:26:42	00:03:40.931	0.000
06/15/2022 13:26:43	00:03:41.931	0.000
06/15/2022 13:26:44	00:03:42.932	0.000
06/15/2022 13:26:45	00:03:43.932	0.000
06/15/2022 13:26:46	00:03:44.932	0.000
06/15/2022 13:26:47	00:03:45.931	0.000
06/15/2022 13:26:48	00:03:46.933	0.000
06/15/2022 13:26:49	00:03:47.931	0.000
06/15/2022 13:26:50	00:03:48.946	0.000
06/15/2022 13:26:51	00:03:49.947	0.000
06/15/2022 13:26:52	00:03:50.964	0.000
06/15/2022 13:26:53	00:03:51.962	0.000
06/15/2022 13:26:54	00:03:52.962	0.000
06/15/2022 13:26:55	00:03:53.961	0.000
06/15/2022 13:26:56	00:03:54.963	0.000
06/15/2022 13:26:57	00:03:55.962	0.000
06/15/2022 13:26:58	00:03:56.964	0.000
06/15/2022 13:26:59	00:03:57.978	0.000
06/15/2022 13:27:00	00:03:58.977	0.000
06/15/2022 13:27:01	00:03:59.979	0.000
06/15/2022 13:27:02	00:04:00.993	0.000
06/15/2022 13:27:03	00:04:01.995	0.000
06/15/2022 13:27:04	00:04:02.994	0.000
06/15/2022 13:27:05	00:04:03.996	0.000
06/15/2022 13:27:06	00:04:05.011	0.000
06/15/2022 13:27:07	00:04:06.024	0.000
06/15/2022 13:27:08	00:04:07.040	0.000
06/15/2022 13:27:09	00:04:08.053	0.000
06/15/2022 13:27:10	00:04:09.065	0.000
06/15/2022 13:27:11	00:04:10.072	0.000
06/15/2022 13:27:12	00:04:11.089	0.000
06/15/2022 13:27:13	00:04:12.090	0.000
06/15/2022 13:27:14	00:04:13.090	0.000
06/15/2022 13:27:15	00:04:14.090	0.000
