Local Date/Time	Relative Time	system:activity
06/15/2022 13:23:01	00:00:00.001	[]
06/15/2022 13:23:02	00:00:01.620	[]
06/15/2022 13:23:03	00:00:02.624	[]
06/15/2022 13:23:04	00:00:02.624	[]
06/15/2022 13:23:04	00:00:03.366	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:05	00:00:04.637	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:06	00:00:05.639	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:07	00:00:06.650	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:08	00:00:07.650	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:09	00:00:08.651	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:10	00:00:09.666	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:11	00:00:10.669	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:12	00:00:11.668	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:13	00:00:12.682	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:14	00:00:13.682	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:15	00:00:14.683	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:16	00:00:15.683	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:17	00:00:16.700	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:18	00:00:17.712	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:19	00:00:18.717	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:20	00:00:19.728	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:21	00:00:20.729	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:22	00:00:21.731	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:23	00:00:22.747	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:24	00:00:22.747	[equilibrate separation-column, this finishes at about: 1.51 min.]
06/15/2022 13:23:24	00:00:23.659	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:25	00:00:24.761	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:26	00:00:25.763	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:27	00:00:26.775	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:28	00:00:27.776	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:29	00:00:28.777	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:30	00:00:29.782	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:31	00:00:30.791	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:32	00:00:31.791	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
06/15/2022 13:23:33	00:00:32.793	[equilibrate separation-column, this finishes at about: 1.51 min.,aspirate & inject]
