Glycan	Mass
HexNAc(1)	203.07937
HexNAc(1)Fuc(1)	349.13728
HexNAc(2)	406.15875
HexNAc(2)Fuc(1)	552.21665
HexNAc(2)Hex(1)	568.21157
HexNAc(2)Hex(1)Fuc(1)	714.26948
HexNAc(2)Hex(10)	2026.68698
HexNAc(2)Hex(11)	2188.7398
HexNAc(2)Hex(12)	2350.79263
HexNAc(2)Hex(2)	730.26439
HexNAc(2)Hex(2)Fuc(1)	876.3223
HexNAc(2)Hex(3)	892.31722
HexNAc(2)Hex(3)Fuc(1)	1038.37512
HexNAc(2)Hex(4)	1054.37004
HexNAc(2)Hex(4)Fuc(1)	1200.42795
HexNAc(2)Hex(5)	1216.42286
HexNAc(2)Hex(5)Fuc(1)	1362.48077
HexNAc(2)Hex(6)	1378.47569
HexNAc(2)Hex(6)Fuc(1)	1524.53359
HexNAc(2)Hex(6)Phospho(1)	1458.442
HexNAc(2)Hex(7)	1540.52751
HexNAc(2)Hex(7)Fuc(1)	1686.58642
HexNAc(2)Hex(8)	1702.58133
HexNAc(2)Hex(9)	1864.63416
HexNAc(3)Hex(3)	1095.39659
HexNAc(3)Hex(3)Fuc(1)	11241.4545
HexNAc(3)Hex(4)	1257.44941
HexNAc(3)Hex(4)Fuc(1)	1403.50732
HexNAc(3)Hex(4)Fuc(1)NeuAc(1)	1694.60274
HexNAc(3)Hex(4)Fuc(2)	1549.56523
HexNAc(3)Hex(4)Fuc(2)NeuAc(1)	1840.66065
HexNAc(3)Hex(4)NeuAc(1)	1548.54483
HexNAc(3)Hex(5)	1419.50223
HexNAc(3)Hex(5)Fuc(1)	1565.56014
HexNAc(3)Hex(5)Fuc(1)NeuAc(1)	1856.65556
HexNAc(3)Hex(5)Fuc(1)NeuAc(2)	2147.75098
HexNAc(3)Hex(5)NeuAc(1)	1710.59765
HexNAc(3)Hex(6)	1581.55506
HexNAc(3)Hex(6)Fuc(1)	1727.61297
HexNAc(3)Hex(6)Fuc(1)NeuAc(1)	2018.70838
HexNAc(3)Hex(6)NeuAc(1)	1872.65047
HexNAc(4)Hex(3)	1298.47596
HexNAc(4)Hex(3)Fuc(1)	1444.53387
HexNAc(4)Hex(3)NeuAc(1)	1589.57138
HexNAc(4)Hex(4)	1460.52878
HexNAc(4)Hex(4)Fuc(1)	1606.58669
HexNAc(4)Hex(4)Fuc(1)NeuAc(1)	1897.68211
HexNAc(4)Hex(4)Fuc(2)	1752.6446
HexNAc(4)Hex(4)NeuAc(1)	1751.6242
HexNAc(4)Hex(5)	1622.58161
HexNAc(4)Hex(5)Fuc(1)	1768.63952
HexNAc(4)Hex(5)Fuc(1)NeuAc(1)	2059.73493
HexNAc(4)Hex(5)Fuc(1)NeuAc(2)	2350.83035
HexNAc(4)Hex(5)Fuc(2)	1914.69742
HexNAc(4)Hex(5)Fuc(2)NeuAc(1)	2205.79284
HexNAc(4)Hex(5)Fuc(2)NeuAc(2)	2496.88826
HexNAc(4)Hex(5)Fuc(3)NeuAc(1)	2351.85075
HexNAc(4)Hex(5)Fuc(3)NeuAc(2)	2642.94617
HexNAc(4)Hex(5)NeuAc(1)	1913.67702
HexNAc(4)Hex(5)NeuAc(2)	2204.77244
HexNAc(4)Hex(6)	1784.63443
HexNAc(4)Hex(6)Fuc(1)	1930.69234
HexNAc(4)Hex(6)Fuc(1)NeuAc(1)	2221.78776
HexNAc(4)Hex(6)Fuc(2)	2076.75025
HexNAc(4)Hex(6)NeuAc(1)	2075.72985
HexNAc(4)Hex(7)	1946.68725
HexNAc(4)Hex(7)Fuc(1)	2092.74516
HexNAc(4)Hex(7)NeuAc(1)	2237.78267
HexNAc(5)Hex(3)	1501.55533
HexNAc(5)Hex(3)Fuc(1)	1647.61324
HexNAc(5)Hex(3)Fuc(1)NeuAc(1)	1938.70866
HexNAc(5)Hex(3)Fuc(2)	1793.67115
HexNAc(5)Hex(4)	1663.60816
HexNAc(5)Hex(4)Fuc(1)	1809.66607
HexNAc(5)Hex(4)Fuc(1)NeuAc(1)	2100.76148
HexNAc(5)Hex(4)Fuc(1)NeuAc(2)	2391.8569
HexNAc(5)Hex(4)Fuc(2)	1955.72397
HexNAc(5)Hex(4)NeuAc(1)	1954.70357
HexNAc(5)Hex(4)NeuAc(2)	2245.79899
HexNAc(5)Hex(5)	1825.66098
HexNAc(5)Hex(5)Fuc(1)	1971.71889
HexNAc(5)Hex(5)Fuc(1)NeuAc(1)	2262.8143
HexNAc(5)Hex(5)Fuc(1)NeuAc(2)	2553.90972
HexNAc(5)Hex(5)Fuc(2)	2117.7768
HexNAc(5)Hex(5)Fuc(2)NeuAc(1)	2408.87221
HexNAc(5)Hex(5)Fuc(3)	2263.83471
HexNAc(5)Hex(5)NeuAc(1)	2116.7564
HexNAc(5)Hex(5)NeuAc(2)	2407.85181
HexNAc(5)Hex(6)	1987.7138
HexNAc(5)Hex(6)Fuc(1)	2133.77171
HexNAc(5)Hex(6)Fuc(1)NeuAc(1)	2424.86713
HexNAc(5)Hex(6)Fuc(1)NeuAc(2)	2715.96254
HexNAc(5)Hex(6)Fuc(1)NeuAc(3)	3007.05796
HexNAc(5)Hex(6)Fuc(2)	2279.82962
HexNAc(5)Hex(6)Fuc(2)NeuAc(1)	2570.92504
HexNAc(5)Hex(6)Fuc(3)	2425.88753
HexNAc(5)Hex(6)Fuc(3)NeuAc(1)	2716.98295
HexNAc(5)Hex(6)Fuc(3)NeuAc(3)	3299.17378
HexNAc(5)Hex(6)Fuc(4)	2571.94544
HexNAc(5)Hex(6)Fuc(4)NeuAc(1)	2863.04085
HexNAc(5)Hex(6)NeuAc(1)	2278.80922
HexNAc(5)Hex(6)NeuAc(2)	2569.90464
HexNAc(5)Hex(6)NeuAc(3)	2861.00005
HexNAc(5)Hex(7)Fuc(1)NeuAc(1)	2586.91995
HexNAc(5)Hex(7)Fuc(1)NeuAc(2)	2878.01537
HexNAc(5)Hex(8)	2311.81945
HexNAc(5)Hex(8)Fuc(1)	2457.87736
HexNAc(5)Hex(9)Fuc(1)	2619.93018
HexNAc(6)Hex(3)	1704.63471
HexNAc(6)Hex(3)Fuc(1)	146.05791
HexNAc(6)Hex(3)Fuc(1)NeuAc(1)	2141.78803
HexNAc(6)Hex(3)Fuc(1)NeuAc(2)	2432.88345
HexNAc(6)Hex(3)Fuc(2)	1996.75052
HexNAc(6)Hex(4)	1866.68753
HexNAc(6)Hex(4)Fuc(1)	2012.74544
HexNAc(6)Hex(4)Fuc(2)	2158.80335
HexNAc(6)Hex(4)NeuAc(1)	2157.78295
HexNAc(6)Hex(5)	2028.74035
HexNAc(6)Hex(5)Fuc(1)	2174.79826
HexNAc(6)Hex(5)Fuc(1)NeuAc(1)	2465.89368
HexNAc(6)Hex(5)Fuc(1)NeuAc(2)	2756.98909
HexNAc(6)Hex(5)Fuc(1)NeuAc(3)	3048.08451
HexNAc(6)Hex(5)Fuc(2)	2320.85617
HexNAc(6)Hex(5)Fuc(2)NeuAc(1)	2611.95159
HexNAc(6)Hex(5)Fuc(3)	2466.91408
HexNAc(6)Hex(6)	2190.79318
HexNAc(6)Hex(6)Fuc(1)	2336.85108
HexNAc(6)Hex(6)Fuc(1)NeuAc(1)	2627.9465
HexNAc(6)Hex(6)Fuc(1)NeuAc(2)	2919.04192
HexNAc(6)Hex(6)Fuc(2)	2482.90899
HexNAc(6)Hex(6)Fuc(2)NeuAc(1)	2774.00441
HexNAc(6)Hex(6)Fuc(2)NeuAc(2)	3065.09983
HexNAc(6)Hex(6)NeuAc(1)	2481.88859
HexNAc(6)Hex(6)NeuAc(2)	2772.98401
HexNAc(6)Hex(6)NeuAc(3)	3064.07943
HexNAc(6)Hex(7)	2352.846
HexNAc(6)Hex(7)Fuc(1)NeuAc(1)	2789.99932
HexNAc(6)Hex(7)Fuc(1)NeuAc(2)	3081.09474
HexNAc(6)Hex(7)Fuc(2)	2644.96182
HexNAc(6)Hex(7)Fuc(2)NeuAc(1)	2936.05723
HexNAc(6)Hex(7)Fuc(3)	2791.01973
HexNAc(6)Hex(7)Fuc(3)NeuAc(1)	3082.11514
HexNAc(6)Hex(7)NeuAc(1)	2643.94142
HexNAc(6)Hex(7)NeuAc(2)	2935.03683
HexNAc(6)Hex(7)NeuAc(3)	3226.13225
HexNAc(6)Hex(7)NeuAc(4)	3517.22767
HexNAc(6)Hex(8)Fuc(1)NeuAc(1)	2952.05215
HexNAc(6)Hex(8)NeuAc(1)	2805.99424
HexNAc(6)Hex(9)	2676.95165
HexNAc(6)Hex(9)Fuc(1)NeuAc(2)	3405.20039
HexNAc(7)Hex(3)	1907.71408
HexNAc(7)Hex(3)Fuc(1)	2053.77199
HexNAc(7)Hex(4)	2069.7669
HexNAc(7)Hex(4)Fuc(1)	2215.82481
HexNAc(7)Hex(6)	2393.87255
HexNAc(7)Hex(6)Fuc(1)	2539.93046
HexNAc(7)Hex(7)	2555.92537
HexNAc(7)Hex(7)Fuc(1)	2701.98328
HexNAc(7)Hex(7)Fuc(1)NeuAc(3)	3575.26953
HexNAc(7)Hex(8)	2717.97819
HexNAc(7)Hex(8)Fuc(1)	2864.0361
HexNAc(7)Hex(8)Fuc(1)NeuAc(1)	3155.13152
HexNAc(7)Hex(8)Fuc(1)NeuAc(4)	4028.41777
HexNAc(7)Hex(8)NeuAc(1)	3009.07361
HexNAc(8)Hex(3)	2110.79345
HexNAc(8)Hex(3)Fuc(1)	2256.85136
HexNAc(8)Hex(4)	2272.84627
HexNAc(8)Hex(5)	2434.8991
HexNAc(8)Hex(5)Fuc(1)	2580.95701
HexNAc(8)Hex(7)	2759.00474
HexNAc(8)Hex(8)	2921.05757
HexNAc(8)Hex(9)	3083.11039
HexNAc(8)Hex(9)Fuc(1)	3229.1683
HexNAc(9)Hex(10)	3448.24259
HexNAc(9)Hex(10)Fuc(1)	3594.3005
HexNAc(9)Hex(3)	2313.87282
HexNAc(9)Hex(3)Fuc(1)	2459.93073
HexNAc(9)Hex(4)	2475.92565
HexNAc(9)Hex(4)Fuc(1)	2621.98356
HexNAc(9)Hex(6)	2800.03129
HexNAc(9)Hex(6)Fuc(1)	2946.0892
HexNAc(9)Hex(9)Fuc(1)	3432.24767
